sample_no,scenario_name,learning_rate,episodes,candidate_count,final_loss,mean_reward,match_rate,trained_at,model_file,summary_file,recommendations_file
sample11,demand_surge,0.005,500,500,10.897734,,99.2,20260523_210207,dqn_artifacts\dqn_sample11_demand_surge_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample11_demand_surge_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample11_demand_surge_lr0050_500x500_recommendations.csv
sample11,demand_surge,0.003,500,500,24.858029,,99.2,20260523_210226,dqn_artifacts\dqn_sample11_demand_surge_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample11_demand_surge_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample11_demand_surge_lr0030_500x500_recommendations.csv
sample11,demand_surge,0.02,500,500,52.277115,,99.2,20260523_210253,dqn_artifacts\dqn_sample11_demand_surge_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample11_demand_surge_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample11_demand_surge_lr0200_500x500_recommendations.csv
sample12,transport_cost,0.01,500,500,5.827077,,99.2,20260523_210355,dqn_artifacts\dqn_sample12_transport_cost_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample12_transport_cost_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample12_transport_cost_lr0100_500x500_recommendations.csv
sample12,transport_cost,0.005,500,500,10.897734,,99.2,20260523_210413,dqn_artifacts\dqn_sample12_transport_cost_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample12_transport_cost_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample12_transport_cost_lr0050_500x500_recommendations.csv
sample12,transport_cost,0.003,500,500,24.858029,,99.2,20260523_210427,dqn_artifacts\dqn_sample12_transport_cost_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample12_transport_cost_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample12_transport_cost_lr0030_500x500_recommendations.csv
sample12,transport_cost,0.02,500,500,52.277115,,99.2,20260523_210441,dqn_artifacts\dqn_sample12_transport_cost_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample12_transport_cost_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample12_transport_cost_lr0200_500x500_recommendations.csv
sample13,promotion,0.01,500,500,5.827077,,99.2,20260523_210540,dqn_artifacts\dqn_sample13_promotion_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample13_promotion_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample13_promotion_lr0100_500x500_recommendations.csv
sample13,promotion,0.005,500,500,10.897734,,99.2,20260523_210556,dqn_artifacts\dqn_sample13_promotion_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample13_promotion_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample13_promotion_lr0050_500x500_recommendations.csv
sample13,promotion,0.003,500,500,24.858029,,99.2,20260523_210613,dqn_artifacts\dqn_sample13_promotion_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample13_promotion_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample13_promotion_lr0030_500x500_recommendations.csv
sample13,promotion,0.02,500,500,52.277115,,99.2,20260523_210630,dqn_artifacts\dqn_sample13_promotion_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample13_promotion_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample13_promotion_lr0200_500x500_recommendations.csv
sample14,dc_route,0.01,500,500,5.827077,,99.2,20260523_210724,dqn_artifacts\dqn_sample14_dc_route_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample14_dc_route_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample14_dc_route_lr0100_500x500_recommendations.csv
sample14,dc_route,0.005,500,500,10.897734,,99.2,20260523_210740,dqn_artifacts\dqn_sample14_dc_route_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample14_dc_route_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample14_dc_route_lr0050_500x500_recommendations.csv
sample14,dc_route,0.003,500,500,24.858029,,99.2,20260523_210757,dqn_artifacts\dqn_sample14_dc_route_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample14_dc_route_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample14_dc_route_lr0030_500x500_recommendations.csv
sample14,dc_route,0.02,500,500,52.277115,,99.2,20260523_210816,dqn_artifacts\dqn_sample14_dc_route_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample14_dc_route_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample14_dc_route_lr0200_500x500_recommendations.csv
sample15,reorder_risk,0.01,500,500,5.827077,,99.2,20260523_210914,dqn_artifacts\dqn_sample15_reorder_risk_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample15_reorder_risk_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample15_reorder_risk_lr0100_500x500_recommendations.csv
sample15,reorder_risk,0.005,500,500,10.897734,,99.2,20260523_210930,dqn_artifacts\dqn_sample15_reorder_risk_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample15_reorder_risk_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample15_reorder_risk_lr0050_500x500_recommendations.csv
sample15,reorder_risk,0.003,500,500,24.858029,,99.2,20260523_210951,dqn_artifacts\dqn_sample15_reorder_risk_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample15_reorder_risk_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample15_reorder_risk_lr0030_500x500_recommendations.csv
sample15,reorder_risk,0.02,500,500,52.277115,,99.2,20260523_211010,dqn_artifacts\dqn_sample15_reorder_risk_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample15_reorder_risk_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample15_reorder_risk_lr0200_500x500_recommendations.csv
sample16,stress_test,0.01,500,500,5.827077,,99.2,20260523_211111,dqn_artifacts\dqn_sample16_stress_test_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample16_stress_test_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample16_stress_test_lr0100_500x500_recommendations.csv
sample16,stress_test,0.005,500,500,10.897734,,99.2,20260523_211131,dqn_artifacts\dqn_sample16_stress_test_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample16_stress_test_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample16_stress_test_lr0050_500x500_recommendations.csv
sample16,stress_test,0.003,500,500,24.858029,,99.2,20260523_211152,dqn_artifacts\dqn_sample16_stress_test_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample16_stress_test_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample16_stress_test_lr0030_500x500_recommendations.csv
sample16,stress_test,0.02,500,500,52.277115,,99.2,20260523_211214,dqn_artifacts\dqn_sample16_stress_test_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample16_stress_test_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample16_stress_test_lr0200_500x500_recommendations.csv
sample08,basic,0.01,500,500,5.827077,,99.2,20260523_211320,dqn_artifacts\dqn_sample08_basic_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample08_basic_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample08_basic_lr0100_500x500_recommendations.csv
sample08,basic,0.005,500,500,10.897734,,99.2,20260523_211336,dqn_artifacts\dqn_sample08_basic_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample08_basic_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample08_basic_lr0050_500x500_recommendations.csv
sample08,basic,0.003,500,500,24.858029,,99.2,20260523_211400,dqn_artifacts\dqn_sample08_basic_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample08_basic_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample08_basic_lr0030_500x500_recommendations.csv
sample08,basic,0.02,500,500,52.277115,,99.2,20260523_211416,dqn_artifacts\dqn_sample08_basic_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample08_basic_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample08_basic_lr0200_500x500_recommendations.csv
