product_name,source_store,target_store,state_source_stock,state_target_stock,state_source_sales_30d,state_target_sales_30d,state_inbound_days,state_unit_cost,state_distance_km,state_transfer_cost,state_promotion_net_cost,suggested_qty,estimated_cost,final_recommendation,heuristic_score,heuristic_grade,greedy_rank,is_greedy_selected,action,reward_disposal_saving,reward_holding_saving,reward_sales_opportunity,reward_balance_effect,reward_transport_penalty,reward_promotion_penalty,reward_time_penalty,reward,scenario_id,scenario_name,created_at,uploaded_excel_name
혜자로운 집밥 함박스테이크,잠실4점,건대4점,270.0,275.0,270.0,465.0,0.0,2820.0,4.39,5451.0,106540.0,190.0,5451.0,재배치 추천,73.6,우선 추천,55,False,transfer,40185.0,0.0,53580.0,0.204,0.545,10.654,0.0,93754.005,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스파클링 자몽,여의도점,상암점,263.0,203.0,291.0,411.0,0.0,850.0,8.84,9456.0,34047.0,208.0,9456.0,재배치 추천,73.2,우선 추천,56,False,transfer,11984.124,0.0,17680.0,0.205,0.946,3.405,0.0,29659.978,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 샐러드랩,종로점,용산점,258.0,228.0,186.0,426.0,0.0,2800.0,7.08,7872.0,107649.0,198.0,7872.0,재배치 추천,73.1,우선 추천,57,False,transfer,57675.484,1008.0,55440.0,0.426,0.787,10.765,0.0,114112.358,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 샐러드랩,홍대2점,용산점,278.0,228.0,246.0,426.0,0.0,2800.0,7.09,7881.0,108203.0,198.0,7881.0,재배치 추천,73.1,우선 추천,58,False,transfer,46988.78,448.0,55440.0,0.297,0.788,10.82,0.0,102865.47,d51f2a3d,expiry,2026-05-25 04:49:50,
고메 치즈함박스테이크,마포점,홍대2점,262.0,222.0,354.0,474.0,0.0,4040.0,0.0,17850.0,199974.0,250.0,17850.0,재배치 추천,73.0,우선 추천,59,False,transfer,56063.559,0.0,101000.0,0.136,1.785,19.997,0.0,157041.913,d51f2a3d,expiry,2026-05-25 04:49:50,
카페25 헤이즐넛라떼,방배점,이태원점,273.0,243.0,201.0,441.0,0.0,1510.0,7.69,8421.0,58786.0,198.0,8421.0,재배치 추천,72.7,우선 추천,60,False,transfer,30455.799,543.6,29898.0,0.404,0.842,5.879,0.0,60891.081,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 샐러드랩,압구정점,용산점,278.0,228.0,186.0,426.0,0.0,2800.0,8.14,8826.0,108824.0,198.0,8826.0,재배치 추천,72.5,우선 추천,61,False,transfer,62146.452,1288.0,55440.0,0.48,0.883,10.882,0.0,118863.166,d51f2a3d,expiry,2026-05-25 04:49:50,
카페25 헤이즐넛라떼,여의도6점,이태원점,273.0,243.0,141.0,441.0,0.0,1510.0,8.21,8889.0,58424.0,198.0,8889.0,재배치 추천,72.5,우선 추천,62,False,transfer,43415.713,996.6,29898.0,0.693,0.889,5.842,0.0,74304.274,d51f2a3d,expiry,2026-05-25 04:49:50,
코카콜라 제로,홍대2점,신촌점,253.0,273.0,141.0,441.0,0.0,840.0,2.09,3381.0,26933.0,168.0,3381.0,재배치 추천,72.3,우선 추천,63,False,transfer,18991.149,470.4,14112.0,0.588,0.338,2.693,0.0,33571.105,d51f2a3d,expiry,2026-05-25 04:49:50,
서울우유 요구르트,용산점,합정점,279.0,229.0,123.0,423.0,0.0,970.0,7.76,8484.0,34352.0,194.0,8484.0,재배치 추천,72.3,우선 추천,64,False,transfer,28227.0,756.6,18818.0,0.863,0.848,3.435,0.0,47798.18,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 새우롤샌드,건대점,동대문점,273.0,213.0,291.0,411.0,0.0,3050.0,8.61,9249.0,117651.0,198.0,9249.0,재배치 추천,72.3,우선 추천,65,False,transfer,42490.902,0.0,60390.0,0.21,0.925,11.765,0.0,102868.422,d51f2a3d,expiry,2026-05-25 04:49:50,
게토레이 레몬,신촌2점,강남점,271.0,231.0,87.0,447.0,0.0,1190.0,12.61,12849.0,49220.0,216.0,12849.0,재배치 추천,72.2,우선 추천,66,False,transfer,38556.0,1094.8,25704.0,1.299,1.285,4.922,0.0,65349.892,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 고르곤졸라피자,안양4점,성남5점,278.0,223.0,66.0,471.0,0.0,2220.0,19.72,19248.0,109156.0,248.0,19248.0,재배치 추천,72.0,우선 추천,67,False,transfer,82584.0,2353.2,55056.0,1.869,1.925,10.916,0.0,139982.229,d51f2a3d,expiry,2026-05-25 04:49:50,
게토레이 레몬,문래점,용산점,261.0,251.0,267.0,447.0,0.0,1190.0,8.93,9537.0,45142.0,196.0,9537.0,재배치 추천,71.9,우선 추천,68,False,transfer,17099.899,0.0,23324.0,0.208,0.954,4.514,0.0,40418.639,d51f2a3d,expiry,2026-05-25 04:49:50,
농심 육개장사발면,명동점,신촌점,277.0,247.0,249.0,429.0,0.0,1790.0,6.5,7350.0,63433.0,182.0,7350.0,재배치 추천,71.6,우선 추천,69,False,transfer,27181.042,250.6,32578.0,0.268,0.735,6.343,0.0,60002.832,d51f2a3d,expiry,2026-05-25 04:49:50,
롯데 카스타드,신촌2점,목동점,265.0,265.0,105.0,465.0,0.0,1650.0,10.77,11193.0,64160.0,200.0,11193.0,재배치 추천,71.4,우선 추천,70,False,transfer,49500.0,1320.0,33000.0,0.977,1.119,6.416,0.0,83813.442,d51f2a3d,expiry,2026-05-25 04:49:50,
브레디크 우유생크림빵,신촌2점,용산점,277.0,257.0,69.0,429.0,0.0,2390.0,5.45,6405.0,81104.0,172.0,6405.0,재배치 추천,71.1,우선 추천,71,False,transfer,61662.0,2485.6,41108.0,1.708,0.64,8.11,0.0,105248.557,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 불고기피자,명동점,압구정점,275.0,225.0,165.0,405.0,0.0,2260.0,7.14,7926.0,80484.0,180.0,7926.0,재배치 추천,71.1,우선 추천,72,False,transfer,50850.0,1243.0,40680.0,0.556,0.793,8.048,0.0,92764.715,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스파클링 자몽,여의도점,이태원점,263.0,223.0,291.0,411.0,0.0,850.0,8.78,9402.0,30773.0,188.0,9402.0,재배치 추천,71.1,우선 추천,73,False,transfer,10831.804,0.0,15980.0,0.181,0.94,3.077,0.0,26807.967,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 닭가슴살샌드위치,강남점,강남2점,262.0,212.0,114.0,474.0,0.0,2710.0,0.0,20505.0,129433.0,246.0,20505.0,재배치 추천,71.1,우선 추천,74,False,transfer,99999.0,2005.4,66666.0,0.925,2.05,12.943,0.0,168656.332,d51f2a3d,expiry,2026-05-25 04:49:50,
서울우유 요구르트,용산점,잠원점,279.0,249.0,123.0,423.0,0.0,970.0,5.93,6837.0,30811.0,174.0,6837.0,재배치 추천,71.0,우선 추천,75,False,transfer,25317.0,756.6,16878.0,0.84,0.684,3.081,0.0,42948.675,d51f2a3d,expiry,2026-05-25 04:49:50,
카페25 헤이즐넛라떼,여의도6점,신촌2점,273.0,263.0,141.0,441.0,0.0,1510.0,6.83,7647.0,52522.0,178.0,7647.0,재배치 추천,71.0,우선 추천,76,False,transfer,39030.287,996.6,26878.0,0.67,0.765,5.252,0.0,66899.54,d51f2a3d,expiry,2026-05-25 04:49:50,
심플리쿡 리코타치즈샐러드,신촌7점,강남3점,267.0,217.0,249.0,429.0,0.0,3460.0,14.08,14172.0,145083.0,212.0,14172.0,재배치 추천,71.0,우선 추천,77,False,transfer,58990.916,311.4,73352.0,0.283,1.417,14.508,0.0,132638.673,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스파클링 자몽,청량리점,이태원점,263.0,223.0,351.0,411.0,0.0,850.0,9.11,9699.0,30566.0,188.0,9699.0,재배치 추천,70.9,우선 추천,78,False,transfer,8980.214,0.0,15980.0,0.103,0.97,3.057,0.0,24956.291,d51f2a3d,expiry,2026-05-25 04:49:50,
CJ 비비고 왕교자,홍대2점,신촌2점,276.0,246.0,162.0,402.0,0.0,5400.0,2.63,3867.0,166647.0,156.0,3867.0,재배치 추천,70.8,우선 추천,79,False,transfer,107640.0,3078.0,84240.0,0.546,0.387,16.665,0.0,194941.494,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 새우롤샌드,역삼점,동대문점,273.0,213.0,351.0,411.0,0.0,3050.0,11.5,11850.0,118962.0,198.0,11850.0,재배치 추천,70.8,우선 추천,80,False,transfer,35227.5,0.0,60390.0,0.13,1.185,11.896,0.0,95604.549,d51f2a3d,expiry,2026-05-25 04:49:50,
해태 홈런볼,강남점,합정점,276.0,246.0,162.0,462.0,0.0,2500.0,15.41,15369.0,104145.0,216.0,15369.0,재배치 추천,70.8,우선 추천,81,False,transfer,69000.0,1425.0,54000.0,0.586,1.537,10.415,0.0,124413.634,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스파클링 자몽,여의도점,신촌2점,263.0,243.0,291.0,411.0,0.0,850.0,5.6,6540.0,27500.0,168.0,6540.0,재배치 추천,70.6,우선 추천,82,False,transfer,9679.485,0.0,14280.0,0.156,0.654,2.75,0.0,23956.237,d51f2a3d,expiry,2026-05-25 04:49:50,
농심 육개장사발면,혜화점,신촌점,267.0,247.0,69.0,429.0,0.0,1790.0,8.67,9303.0,63511.0,182.0,9303.0,재배치 추천,70.5,우선 추천,83,False,transfer,48867.0,1772.1,32578.0,1.647,0.93,6.351,0.0,83211.466,d51f2a3d,expiry,2026-05-25 04:49:50,
서울우유 요구르트,이태원점,합정점,279.0,229.0,183.0,423.0,0.0,970.0,11.18,11562.0,35711.0,194.0,11562.0,재배치 추천,70.5,우선 추천,84,False,transfer,21517.303,465.6,18818.0,0.492,1.156,3.571,0.0,40796.668,d51f2a3d,expiry,2026-05-25 04:49:50,
게토레이 레몬,문래점,강남점,261.0,231.0,267.0,447.0,0.0,1190.0,15.95,15855.0,49748.0,216.0,15855.0,재배치 추천,70.5,우선 추천,85,False,transfer,18844.787,0.0,25704.0,0.23,1.585,4.975,0.0,44542.457,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 샐러드랩,홍대2점,목동점,278.0,248.0,246.0,426.0,0.0,2800.0,8.37,9033.0,97274.0,178.0,9033.0,재배치 추천,70.2,우선 추천,86,False,transfer,42242.439,448.0,49840.0,0.274,0.903,9.727,0.0,92520.082,d51f2a3d,expiry,2026-05-25 04:49:50,
혜자로운 햄구이도시락,혜화점,종로점,279.0,219.0,453.0,453.0,0.0,3650.0,0.0,19614.0,168640.0,233.0,19614.0,재배치 추천,70.2,우선 추천,87,False,transfer,39284.031,0.0,85045.0,0.066,1.961,16.864,0.0,124310.272,d51f2a3d,expiry,2026-05-25 04:49:50,
오뚜기 진라면컵,압구정점,신촌2점,267.0,237.0,129.0,429.0,0.0,2630.0,11.51,11859.0,99491.0,192.0,11859.0,재배치 추천,70.1,우선 추천,88,False,transfer,75744.0,1814.7,50496.0,0.759,1.186,9.949,0.0,128044.324,d51f2a3d,expiry,2026-05-25 04:49:50,
오뚜기 진라면컵,압구정점,이태원점,267.0,217.0,129.0,429.0,0.0,2630.0,0.0,16140.0,109855.0,212.0,16140.0,재배치 추천,69.9,검토 가능,89,False,transfer,83634.0,1814.7,55756.0,0.782,1.614,10.986,0.0,141192.882,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 방울토마토,동대문점,신촌점,270.0,270.0,90.0,450.0,0.0,3530.0,9.56,10104.0,125134.0,180.0,10104.0,재배치 추천,69.8,검토 가능,90,False,transfer,95310.0,3177.0,63540.0,1.2,1.01,12.513,0.0,162014.676,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 새우롤샌드,노원점,동대문점,263.0,213.0,111.0,411.0,0.0,3050.0,13.46,13614.0,117778.0,198.0,13614.0,재배치 추천,69.8,검토 가능,91,False,transfer,90585.0,2318.0,60390.0,0.926,1.361,11.778,0.0,153280.786,d51f2a3d,expiry,2026-05-25 04:49:50,
카페25 아이스카페라떼,홍대6점,홍대점,261.0,241.0,267.0,447.0,0.0,1370.0,0.0,15402.0,54113.0,206.0,15402.0,재배치 추천,69.7,검토 가능,92,False,transfer,20690.848,0.0,28222.0,0.219,1.54,5.411,0.0,48906.116,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 새우롤샌드,건대점,혜화점,273.0,233.0,291.0,411.0,0.0,3050.0,9.68,10212.0,105767.0,178.0,10212.0,재배치 추천,69.6,검토 가능,93,False,transfer,38198.892,0.0,54290.0,0.186,1.021,10.577,0.0,92477.479,d51f2a3d,expiry,2026-05-25 04:49:50,
브레디크 우유생크림빵,신촌2점,강남점,277.0,237.0,69.0,429.0,0.0,2390.0,12.61,12849.0,90535.0,192.0,12849.0,재배치 추천,69.6,검토 가능,94,False,transfer,68832.0,2485.6,45888.0,1.731,1.285,9.053,0.0,117196.993,d51f2a3d,expiry,2026-05-25 04:49:50,
혜자로운 참치마요김밥,강남점,건대3점,277.0,237.0,69.0,399.0,0.0,2810.0,6.43,7287.0,89962.0,162.0,7287.0,재배치 추천,69.5,검토 가능,95,False,transfer,68283.0,2922.4,45522.0,1.71,0.729,8.996,0.0,116719.385,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 고르곤졸라피자,여의도5점,광명6점,273.0,248.0,291.0,426.0,0.0,2220.0,9.72,10248.0,77181.0,178.0,10248.0,재배치 추천,69.5,검토 가능,96,False,transfer,27803.784,0.0,39516.0,0.178,1.025,7.718,0.0,67311.219,d51f2a3d,expiry,2026-05-25 04:49:50,
브레디크 모찌롤,홍대점,동대문점,269.0,239.0,123.0,423.0,0.0,2820.0,11.31,11679.0,102478.0,184.0,11679.0,재배치 추천,69.4,검토 가능,97,False,transfer,77832.0,2058.6,51888.0,0.811,1.168,10.248,0.0,131767.995,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 방울토마토,동대문점,신촌2점,270.0,220.0,90.0,390.0,0.0,3530.0,8.48,9132.0,118182.0,170.0,9132.0,재배치 추천,69.3,검토 가능,98,False,transfer,90015.0,3177.0,60010.0,1.218,0.913,11.818,0.0,153190.487,d51f2a3d,expiry,2026-05-25 04:49:50,
브레디크 우유생크림빵,문래점,용산점,267.0,257.0,249.0,429.0,0.0,2390.0,8.93,9537.0,80864.0,172.0,9537.0,재배치 추천,69.3,검토 가능,99,False,transfer,33059.747,215.1,41108.0,0.237,0.954,8.086,0.0,74374.043,d51f2a3d,expiry,2026-05-25 04:49:50,
서울우유 요구르트,용산점,여의도2점,279.0,269.0,123.0,423.0,0.0,970.0,5.34,6306.0,27269.0,154.0,6306.0,재배치 추천,69.2,검토 가능,100,False,transfer,22407.0,756.6,14938.0,0.816,0.631,2.727,0.0,38099.059,d51f2a3d,expiry,2026-05-25 04:49:50,
서울우유 딸기우유,신촌점,광명6점,265.0,265.0,375.0,465.0,0.0,970.0,15.03,15027.0,37730.0,200.0,15027.0,재배치 추천,69.2,검토 가능,101,False,transfer,10282.0,0.0,19400.0,0.068,1.503,3.773,0.0,29676.793,d51f2a3d,expiry,2026-05-25 04:49:50,
카페25 아이스카페라떼,역삼점,홍대점,271.0,241.0,267.0,447.0,0.0,1370.0,16.27,16143.0,52762.0,206.0,16143.0,재배치 추천,69.2,검토 가능,102,False,transfer,21483.601,27.4,28222.0,0.238,1.614,5.276,0.0,49726.349,d51f2a3d,expiry,2026-05-25 04:49:50,
심플리쿡 리코타치즈샐러드,안양5점,강남3점,272.0,217.0,354.0,429.0,0.0,3460.0,17.59,17331.0,143686.0,212.0,17331.0,재배치 추천,69.2,검토 가능,103,False,transfer,42270.644,0.0,73352.0,0.131,1.733,14.369,0.0,115606.674,d51f2a3d,expiry,2026-05-25 04:49:50,
CJ 비비고 왕교자,홍대2점,이태원점,276.0,226.0,162.0,402.0,0.0,5400.0,10.2,10680.0,188011.0,176.0,10680.0,재배치 추천,69.1,검토 가능,104,False,transfer,121440.0,3078.0,95040.0,0.571,1.068,18.801,0.0,219538.702,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 샐러드랩,종로점,청량리점,258.0,268.0,186.0,426.0,0.0,2800.0,6.57,7413.0,85902.0,158.0,7413.0,재배치 추천,69.0,검토 가능,105,False,transfer,46023.871,1008.0,44240.0,0.379,0.741,8.59,0.0,91262.918,d51f2a3d,expiry,2026-05-25 04:49:50,
광동 옥수수수염차,구로점,합정점,245.0,235.0,165.0,405.0,0.0,1360.0,9.06,9654.0,44077.0,170.0,9654.0,재배치 추천,69.0,검토 가능,106,False,transfer,25747.273,544.0,23120.0,0.452,0.965,4.408,0.0,49406.352,d51f2a3d,expiry,2026-05-25 04:49:50,
오뚜기 진라면컵,사당점,신촌2점,277.0,237.0,369.0,429.0,0.0,2630.0,13.7,13830.0,99007.0,192.0,13830.0,재배치 추천,69.0,검토 가능,107,False,transfer,28429.659,0.0,50496.0,0.099,1.383,9.901,0.0,78914.474,d51f2a3d,expiry,2026-05-25 04:49:50,
오뚜기 진라면컵,성수점,신촌2점,277.0,237.0,309.0,429.0,0.0,2630.0,13.91,14019.0,99408.0,192.0,14019.0,재배치 추천,68.9,검토 가능,108,False,transfer,33949.981,0.0,50496.0,0.172,1.402,9.941,0.0,84434.81,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 샐러드랩,압구정점,청량리점,278.0,268.0,186.0,426.0,0.0,2800.0,6.93,7737.0,86840.0,158.0,7737.0,재배치 추천,68.8,검토 가능,109,False,transfer,49591.613,1288.0,44240.0,0.433,0.774,8.684,0.0,95110.588,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 치즈핫도그,구로점,합정점,268.0,258.0,186.0,426.0,0.0,4400.0,9.06,9654.0,146292.0,168.0,9654.0,재배치 추천,68.8,검토 가능,110,False,transfer,79881.29,1804.0,73920.0,0.418,0.965,14.629,0.0,155590.113,d51f2a3d,expiry,2026-05-25 04:49:50,
게토레이 레몬,신촌2점,목동점,271.0,271.0,87.0,447.0,0.0,1190.0,10.77,11193.0,40105.0,176.0,11193.0,재배치 추천,68.8,검토 가능,111,False,transfer,31416.0,1094.8,20944.0,1.254,1.119,4.011,0.0,53450.925,d51f2a3d,expiry,2026-05-25 04:49:50,
브레디크 모찌롤,교대점,동대문점,249.0,239.0,183.0,423.0,0.0,2820.0,12.36,12624.0,102636.0,184.0,12624.0,재배치 추천,68.8,검토 가능,112,False,transfer,52951.279,930.6,51888.0,0.398,1.262,10.264,0.0,105758.751,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스트링치즈,문래점,합정점,278.0,218.0,306.0,366.0,0.0,780.0,5.05,6045.0,21358.0,148.0,6045.0,재배치 추천,68.7,검토 가능,113,False,transfer,7865.765,0.0,11544.0,0.156,0.605,2.136,0.0,19407.181,d51f2a3d,expiry,2026-05-25 04:49:50,
농심 육개장사발면,교대점,신촌점,257.0,247.0,249.0,429.0,0.0,1790.0,12.21,12489.0,62433.0,182.0,12489.0,재배치 추천,68.7,검토 가능,114,False,transfer,25218.512,71.6,32578.0,0.228,1.249,6.243,0.0,57860.848,d51f2a3d,expiry,2026-05-25 04:49:50,
해태 홈런볼,구로점,잠원점,256.0,266.0,222.0,462.0,0.0,2500.0,15.23,15207.0,94755.0,196.0,15207.0,재배치 추천,68.7,검토 가능,115,False,transfer,42378.378,425.0,49000.0,0.289,1.521,9.476,0.0,91792.671,d51f2a3d,expiry,2026-05-25 04:49:50,
브레디크 골든슈크림빵,강남2점,안양4점,275.0,255.0,135.0,465.0,0.0,1620.0,18.25,17925.0,66826.0,210.0,17925.0,재배치 추천,68.7,검토 가능,116,False,transfer,51030.0,1134.0,34020.0,0.744,1.792,6.683,0.0,86176.269,d51f2a3d,expiry,2026-05-25 04:49:50,
코카콜라 제로,동대문점,신촌점,273.0,273.0,81.0,441.0,0.0,840.0,9.56,10104.0,26716.0,168.0,10104.0,재배치 추천,68.5,검토 가능,117,False,transfer,21168.0,806.4,14112.0,1.376,1.01,2.672,0.0,36084.094,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스파클링 자몽,압구정점,상암점,273.0,203.0,111.0,411.0,0.0,850.0,18.04,17736.0,33684.0,208.0,17736.0,재배치 추천,68.5,검토 가능,118,False,transfer,26520.0,688.5,17680.0,0.983,1.774,3.368,0.0,44884.341,d51f2a3d,expiry,2026-05-25 04:49:50,
서울우유 요구르트,강남점,합정점,259.0,229.0,123.0,423.0,0.0,970.0,15.41,15369.0,34206.0,194.0,15369.0,재배치 추천,68.4,검토 가능,119,False,transfer,28227.0,659.6,18818.0,0.782,1.537,3.421,0.0,47700.425,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 스파클링 자몽,청량리점,상암점,263.0,203.0,351.0,411.0,0.0,850.0,18.27,17943.0,33818.0,208.0,17943.0,재배치 추천,68.4,검토 가능,120,False,transfer,9935.556,0.0,17680.0,0.128,1.794,3.382,0.0,27610.507,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 새우롤샌드,역삼점,혜화점,273.0,233.0,351.0,411.0,0.0,3050.0,12.12,12408.0,106946.0,178.0,12408.0,재배치 추천,68.3,검토 가능,121,False,transfer,31669.167,0.0,54290.0,0.105,1.241,10.695,0.0,85947.337,d51f2a3d,expiry,2026-05-25 04:49:50,
롯데 카스타드,종로점,목동점,275.0,265.0,225.0,465.0,0.0,1650.0,16.83,16647.0,62703.0,200.0,16647.0,재배치 추천,68.3,검토 가능,122,False,transfer,30250.0,412.5,33000.0,0.326,1.665,6.27,0.0,63654.891,d51f2a3d,expiry,2026-05-25 04:49:50,
카페25 아이스카페라떼,건대점,홍대점,271.0,241.0,207.0,447.0,0.0,1370.0,18.15,17835.0,55111.0,206.0,17835.0,재배치 추천,68.3,검토 가능,123,False,transfer,27710.732,438.4,28222.0,0.385,1.784,5.511,0.0,56364.222,d51f2a3d,expiry,2026-05-25 04:49:50,
해태 홈런볼,상암점,합정점,276.0,246.0,222.0,462.0,0.0,2500.0,0.0,19767.0,105725.0,216.0,19767.0,재배치 추천,68.3,검토 가능,124,False,transfer,50351.351,675.0,54000.0,0.355,1.977,10.572,0.0,105014.158,d51f2a3d,expiry,2026-05-25 04:49:50,
